ESPECIFICACIONES TÉCNICAS	Motor	5.4L EFI V8
ESPECIFICACIONES TÉCNICAS	Potencia (Hp/rpm)	255 @ 4.500
ESPECIFICACIONES TÉCNICAS	Torque (nm/rpm)	474 @ 2.500
ESPECIFICACIONES TÉCNICAS	Tracción	4X2
ESPECIFICACIONES TÉCNICAS	Transmisión n Velocidades	AT4
ESPECIFICACIONES TÉCNICAS	Dirección electrónicamente asistida (EPAS)	s
ESPECIFICACIONES TÉCNICAS	Alternador	Heavy Duty 155A
ESPECIFICACIONES TÉCNICAS	Doble Batería Heavy Duty 78 Amp	s
ESPECIFICACIONES TÉCNICAS	Calefactor del Block Motor 750 Watts	s
ESPECIFICACIONES TÉCNICAS	Paquete de Remolque Heavy Duty Clase IInIIInIV	s
ESPECIFICACIONES TÉCNICAS	Frenos	Disco Ventilado / Disco
ESPECIFICACIONES TÉCNICAS	Capacidad de estanque de combustible (L)	133
EXTERIOR	Luz de Día (Daytime Running Lights)	s
EXTERIOR	Neumáticos	P245/75 R16
EXTERIOR	Llantas de acero	"16"""
EXTERIOR	Llantas de aleación	n
EXTERIOR	Parachoques color carrocería	Negro
EXTERIOR	Pisaderas laterales	s
EXTERIOR	Puerta de Acceso Lateral	Tipo Tijera 60/40
EXTERIOR	Vidrios tinteados	s
EXTERIOR	Manillas exteriores de puerta	Negras
EXTERIOR	Espejos exteriores color carrocería	Negro
EXTERIOR	Espejos exteriores con regulación eléctrica	n
EXTERIOR	Espejo retrovisor electrocromático	n
EXTERIOR	Rueda de repuesto temporal	s
INTERIOR	Aire acondicionado	s
INTERIOR	Salidas de aire para plazas traseras	s
INTERIOR	Número de pasajeros	15
INTERIOR	Asiento conductor c/ajuste manual	s
INTERIOR	Tapizado de asientos	Vinil
INTERIOR	Recubrimiento del Piso	Vinil
INTERIOR	Posavasos	s
SEGURIDAD	Airbags frontales	s
SEGURIDAD	Cinturones de seguridad con Pretensores y Limitadores de Peso	Pretensores
SEGURIDAD	Cinturones de seguridad ajustables en altura	s
SEGURIDAD	Sistema de Clasificación de Pasajero Delantero	s
SEGURIDAD	Barras de protección contra impactos laterales	s
SEGURIDAD	Sistema Antibloqueo de Frenos (ABS)	s
SEGURIDAD	Distribución Electrónica de Frenado (EBD)	s
SEGURIDAD	Advance Trac® con RSC® (Roll stability control)	s
SEGURIDAD	Control de Tracción (TCS)	s
SEGURIDAD	Controlador de Freno de Trailer Integrado	n
SEGURIDAD	Diferencial Trasero	Desliz. Limitado Relación 4.1
SEGURIDAD	Sistema inmobilizador de motor PATS/ EPATS	s
SEGURIDAD	TPMS (Monitor de presión en neumáticos)	s
TECNOLOGÍA	"Alzavidrios ""One Touch Down"" conductor"	n
TECNOLOGÍA	Cierre centralizado de puertas	n
TECNOLOGÍA	Radio AM/FM	s
TECNOLOGÍA	Reproductor de CD / MP3	n
TECNOLOGÍA	Conexión auxiliar (mini plug)	s
TECNOLOGÍA	Conexión USB/AUX	n
TECNOLOGÍA	Control de velocidad crucero al volante	n
TECNOLOGÍA	Sistema de conectividad SYNC	n
TECNOLOGÍA	Sensor de retroceso	n
TECNOLOGÍA	Computador a bordo	s
