ESPECIFICACIONES TÉCNICAS	Motor	5.4L EFI V8
ESPECIFICACIONES TÉCNICAS	Potencia (Hp/rpm)	255 @ 4.500
ESPECIFICACIONES TÉCNICAS	Torque (nm/rpm)	474 @ 2.500
ESPECIFICACIONES TÉCNICAS	Tracción	4X2
ESPECIFICACIONES TÉCNICAS	Transmisión n Velocidades	AT4
ESPECIFICACIONES TÉCNICAS	Dirección electrónicamente asistida (EPAS)	s
ESPECIFICACIONES TÉCNICAS	Alternador	Heavy Duty 155A
ESPECIFICACIONES TÉCNICAS	Doble Batería Heavy Duty 78 Amp	s
ESPECIFICACIONES TÉCNICAS	Calefactor del Block Motor 750 Watts	s
ESPECIFICACIONES TÉCNICAS	Paquete de Remolque Heavy Duty Clase IInIIInIV	s
ESPECIFICACIONES TÉCNICAS	Frenos	Disco Ventilado / Disco
ESPECIFICACIONES TÉCNICAS	Capacidad de estanque de combustible (L)	133
EXTERIOR	Luz de Día (Daytime Running Lights)	s
EXTERIOR	Neumáticos	P245/75 R16
EXTERIOR	Llantas de acero	n
EXTERIOR	Llantas de aleación	"16"""
EXTERIOR	Parachoques color carrocería	Cromado
EXTERIOR	Pisaderas laterales	s
EXTERIOR	Puerta de Acceso Lateral	Corrediza
EXTERIOR	Vidrios tinteados	s
EXTERIOR	Manillas exteriores de puerta	Negras
EXTERIOR	Espejos exteriores color carrocería	Negro
EXTERIOR	Espejos exteriores con regulación eléctrica	s
EXTERIOR	Espejo retrovisor electrocromático	s
EXTERIOR	Rueda de repuesto temporal	s
INTERIOR	Aire acondicionado	s
INTERIOR	Salidas de aire para plazas traseras	s
INTERIOR	Número de pasajeros	15
INTERIOR	Asiento conductor c/ajuste manual	s
INTERIOR	Tapizado de asientos	Tela
INTERIOR	Recubrimiento del Piso	Alfombra
INTERIOR	Posavasos	s
SEGURIDAD	Airbags frontales	s
SEGURIDAD	Cinturones de seguridad con Pretensores y Limitadores de Peso	Pretensores
SEGURIDAD	Cinturones de seguridad ajustables en altura	s
SEGURIDAD	Sistema de Clasificación de Pasajero Delantero	s
SEGURIDAD	Barras de protección contra impactos laterales	s
SEGURIDAD	Sistema Antibloqueo de Frenos (ABS)	s
SEGURIDAD	Distribución Electrónica de Frenado (EBD)	s
SEGURIDAD	Advance Trac® con RSC® (Roll stability control)	s
SEGURIDAD	Control de Tracción (TCS)	s
SEGURIDAD	Controlador de Freno de Trailer Integrado	s
SEGURIDAD	Diferencial Trasero	Desliz. Limitado Relación 4.1
SEGURIDAD	Sistema inmobilizador de motor PATS/ EPATS	s
SEGURIDAD	TPMS (Monitor de presión en neumáticos)	s
TECNOLOGÍA	"Alzavidrios ""One Touch Down"" conductor"	s
TECNOLOGÍA	Cierre centralizado de puertas	s
TECNOLOGÍA	Radio AM/FM	s
TECNOLOGÍA	Reproductor de CD / MP3	s
TECNOLOGÍA	Conexión auxiliar (mini plug)	n
TECNOLOGÍA	Conexión USB/AUX	s
TECNOLOGÍA	Control de velocidad crucero al volante	s
TECNOLOGÍA	Sistema de conectividad SYNC	s
TECNOLOGÍA	Sensor de retroceso	s
TECNOLOGÍA	Computador a bordo	s
